COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,111,30/11/2020 00,01/12/2020 00,24,ug/m3
4000022,111,01/12/2020 00,02/12/2020 00,26,ug/m3
4000022,111,02/12/2020 00,03/12/2020 00,13,ug/m3
4000022,111,03/12/2020 00,04/12/2020 00,17,ug/m3
4000022,111,04/12/2020 00,05/12/2020 00,13,ug/m3
4000022,111,05/12/2020 00,06/12/2020 00,5,ug/m3
4000022,111,06/12/2020 00,07/12/2020 00,10,ug/m3
4000022,111,07/12/2020 00,08/12/2020 00,8,ug/m3
4000022,111,08/12/2020 00,09/12/2020 00,9,ug/m3
4000022,111,09/12/2020 00,10/12/2020 00,6,ug/m3
4000022,111,10/12/2020 00,11/12/2020 00,19,ug/m3
4000022,111,11/12/2020 00,12/12/2020 00,22,ug/m3
4000022,111,12/12/2020 00,13/12/2020 00,26,ug/m3
4000022,111,13/12/2020 00,14/12/2020 00,23,ug/m3
4000022,111,14/12/2020 00,15/12/2020 00,37,ug/m3
4000022,111,15/12/2020 00,16/12/2020 00,41,ug/m3
4000022,111,16/12/2020 00,17/12/2020 00,36,ug/m3
4000022,111,17/12/2020 00,18/12/2020 00,33,ug/m3
4000022,111,18/12/2020 00,19/12/2020 00,40,ug/m3
4000022,111,19/12/2020 00,20/12/2020 00,37,ug/m3
4000022,111,20/12/2020 00,21/12/2020 00,40,ug/m3
4000022,111,21/12/2020 00,22/12/2020 00,25,ug/m3
4000022,111,22/12/2020 00,23/12/2020 00,34,ug/m3
4000022,111,23/12/2020 00,24/12/2020 00,36,ug/m3
4000022,111,24/12/2020 00,25/12/2020 00,25,ug/m3
4000022,111,25/12/2020 00,26/12/2020 00,8,ug/m3
4000022,111,26/12/2020 00,27/12/2020 00,7,ug/m3
4000022,111,27/12/2020 00,28/12/2020 00,8,ug/m3
4000022,111,28/12/2020 00,29/12/2020 00,13,ug/m3
4000022,111,29/12/2020 00,30/12/2020 00,28,ug/m3
4000022,111,30/12/2020 00,31/12/2020 00,27,ug/m3
4000022,111,31/12/2020 00,01/01/2021 00,25,ug/m3
